Glottocode,LanguageName,Phoneme,affiliation
amah1246,AMAHUACA,t̠ʃ,Panoan
amah1246,AMAHUACA,ɯ,Panoan
amah1246,AMAHUACA,ɯ̃,Panoan
amah1246,AMAHUACA,w,Panoan
amah1246,AMAHUACA,x,Panoan
amah1246,AMAHUACA,ʔ,Panoan
amah1246,AMAHUACA,θ,Panoan
yane1238,AMUESHA,a,Maipurean
yane1238,AMUESHA,e,Maipurean
yane1238,AMUESHA,ɣ,Maipurean
yane1238,AMUESHA,j,Maipurean
yane1238,AMUESHA,k,Maipurean
yane1238,AMUESHA,lʲ,Maipurean
yane1238,AMUESHA,m,Maipurean
yane1238,AMUESHA,mʲ,Maipurean
yane1238,AMUESHA,n,Maipurean
yane1238,AMUESHA,ɲ,Maipurean
yane1238,AMUESHA,o,Maipurean
yane1238,AMUESHA,p,Maipurean
yane1238,AMUESHA,pʲ,Maipurean
yane1238,AMUESHA,ɾ̪|ɾ,Maipurean
yane1238,AMUESHA,s,Maipurean
yane1238,AMUESHA,ʃ,Maipurean
yane1238,AMUESHA,t,Maipurean
yane1238,AMUESHA,tsʰ,Maipurean
yane1238,AMUESHA,t̠ʃʰ,Maipurean
yane1238,AMUESHA,t̠ʃʲʰ,Maipurean
yane1238,AMUESHA,ʈʂʰ,Maipurean
yane1238,AMUESHA,w,Maipurean
yane1238,AMUESHA,x,Maipurean
yane1238,AMUESHA,ʐ,Maipurean
yane1238,AMUESHA,ʔ,Maipurean
yane1238,AMUESHA,β,Maipurean
hame1242,HAMER,ɐˤ,Afro-Asiatic
hame1242,HAMER,ɑ,Afro-Asiatic
hame1242,HAMER,b,Afro-Asiatic
hame1242,HAMER,ɓ,Afro-Asiatic
hame1242,HAMER,c,Afro-Asiatic
hame1242,HAMER,d,Afro-Asiatic
hame1242,HAMER,ɗ,Afro-Asiatic
hame1242,HAMER,e,Afro-Asiatic
hame1242,HAMER,e̞ˤ,Afro-Asiatic
hame1242,HAMER,ɡ,Afro-Asiatic
hame1242,HAMER,ɠ,Afro-Asiatic
hame1242,HAMER,h,Afro-Asiatic
hame1242,HAMER,i,Afro-Asiatic
hame1242,HAMER,ɪˤ,Afro-Asiatic
hame1242,HAMER,j,Afro-Asiatic
hame1242,HAMER,ɟ,Afro-Asiatic
hame1242,HAMER,k,Afro-Asiatic
hame1242,HAMER,l,Afro-Asiatic
hame1242,HAMER,m,Afro-Asiatic
hame1242,HAMER,n,Afro-Asiatic
hame1242,HAMER,ɲ,Afro-Asiatic
hame1242,HAMER,ŋ,Afro-Asiatic
hame1242,HAMER,o,Afro-Asiatic
hame1242,HAMER,ɔˤ,Afro-Asiatic
hame1242,HAMER,p,Afro-Asiatic
hame1242,HAMER,qʼ,Afro-Asiatic
hame1242,HAMER,ɾ,Afro-Asiatic
hame1242,HAMER,s,Afro-Asiatic
hame1242,HAMER,ʃ,Afro-Asiatic
hame1242,HAMER,t,Afro-Asiatic
hame1242,HAMER,ts,Afro-Asiatic
